,cat_total_funding,cat_funding_day,cat_funding_range_1_2,cat_company_age,name,funding_total_usd,status,funding_rounds,Industry_Group,funding_day,funding_range_1_2,company_age,Continent_Name
26,level_7,level_2,level_4,level_6,3Leaf,65000000.0,success,3,Information Technology,214.0,1360.0,17,North America
27,level_8,level_2,level_4,level_7,3PAR,148000000.0,success,3,Information Technology,486.0,1380.0,22,North America
28,level_5,level_7,level_4,level_7,3TIER,15000000.0,success,3,Information Technology,3169.0,904.0,22,North America
29,level_5,level_5,level_5,level_6,41st Parameter,38064570.0,success,4,Privacy and Security,858.0,2165.0,17,North America
30,level_6,level_2,level_0,level_3,4Blox,38730470.0,failure,1,Information Technology,405.0,0.0,15,North America
31,level_2,level_7,level_0,level_5,4DK Technologies,3378975.0,success,1,Electronics,2536.0,0.0,16,North America
32,level_3,level_2,level_4,level_3,4Home,9416354.0,success,6,Transportation,212.0,1282.0,15,North America
33,level_5,level_0,level_4,level_1,500Friends,12900000.0,success,6,Commerce & Marketing,0.0,1183.0,11,North America
34,level_2,level_7,level_2,level_2,5BARz International,6100000.0,success,2,Electronics,2142.0,370.0,13,North America
35,level_6,level_2,level_0,level_1,5by,38730470.0,success,1,Information Technology,424.0,0.0,9,North America
36,level_5,level_1,level_3,level_2,5min Media,12800000.0,success,3,Education,90.0,844.0,14,North America
37,level_2,level_2,level_0,level_2,5th Finger,7000000.0,success,1,Electronics,164.0,0.0,13,North America
38,level_5,level_2,level_2,level_2,5to1,17129760.0,success,4,Media & Publishing,167.0,511.0,12,North America
39,level_2,level_2,level_2,level_1,640 Labs,3050000.0,success,3,Information Technology,535.0,122.0,8,North America
40,level_2,level_5,level_2,level_6,6th Sense Analytics,6700000.0,success,2,Information Technology,680.0,446.0,17,North America
41,level_2,level_5,level_4,level_3,7 Billion People,6528902.0,failure,3,Data Science,1135.0,1250.0,15,North America
42,level_8,level_8,level_0,level_8,8x8 Inc,126000000.0,success,1,Other,9820.0,0.0,34,North America
43,level_1,level_5,level_2,level_1,9SLIDES,925000.0,success,2,Other,1094.0,126.0,11,North America
44,level_4,level_2,level_2,level_2,A Bit Lucky,10312103.0,failure,2,Game & Applications,165.0,375.0,12,North America
45,level_6,level_7,level_0,level_7,A+ Network,38730470.0,success,1,Services,1929.0,0.0,32,North America
46,level_8,level_1,level_5,level_6,A10 Networks,118000000.0,success,4,Information Technology,92.0,3197.0,17,North America
47,level_8,level_6,level_5,level_6,A123 Systems,502860000.0,success,8,Consumer Goods,1765.0,2410.0,20,North America
48,level_1,level_5,level_0,level_2,Aarden Pharmaceuticals,500000.0,failure,1,Health Care & Biotechnology,1098.0,0.0,13,North America
49,level_2,level_0,level_3,level_2,Aardvark,6000000.0,success,2,Information Technology,0.0,639.0,14,North America
50,level_6,level_8,level_0,level_7,Aastrom Biosciences,40000000.0,success,1,Health Care & Biotechnology,8468.0,0.0,32,North America
51,level_1,level_7,level_0,level_7,Abacast,500000.0,success,1,Data Science,3875.0,0.0,21,North America
52,level_2,level_7,level_4,level_7,Abazab,4400000.0,failure,2,Information Technology,3411.0,1095.0,24,North America
53,level_1,level_0,level_2,level_1,AbbeyPost,875000.0,success,5,Commerce & Marketing,0.0,346.0,7,North America
54,level_2,level_8,level_3,level_7,Abbott Labs,6790000.0,success,2,Health Care & Biotechnology,6649.0,729.0,30,North America
55,level_8,level_5,level_2,level_2,Abound Solar,510000000.0,failure,2,Information Technology,1282.0,162.0,14,North America
56,level_1,level_8,level_0,level_7,Abtech Holdings,1400000.0,success,1,Manufacturing,7442.0,0.0,26,North America
57,level_1,level_5,level_0,level_2,FashionAde.com (Abundant Closet),60000.0,failure,1,Commerce & Marketing,784.0,0.0,13,North America
58,level_3,level_8,level_0,level_8,A.C. Moore,10000000.0,success,1,Commerce & Marketing,9287.0,0.0,37,North America
59,level_8,level_7,level_5,level_7,Acacia Research,255100000.0,success,3,Services,2516.0,4474.0,28,North America
60,level_6,level_2,level_0,level_2,Academic Earth,38730470.0,success,1,Information Technology,274.0,0.0,13,North America
61,level_2,level_2,level_0,level_6,Academy123,2000000.0,success,1,Education,213.0,0.0,17,North America
62,level_7,level_7,level_4,level_6,Accelerate Diagnostics,63016244.0,success,4,Health Care & Biotechnology,2273.0,1504.0,17,North America
63,level_2,level_7,level_4,level_5,Accelerize New Media,4045500.0,success,3,Information Technology,1955.0,1437.0,16,North America
64,level_8,level_5,level_4,level_6,Acceleron Pharma,113701130.0,success,6,Health Care & Biotechnology,944.0,1969.0,17,North America
65,level_1,level_0,level_3,level_2,AccelGolf,457282.0,failure,7,Information Technology,0.0,703.0,13,North America
66,level_7,level_5,level_0,level_7,Accelight Networks,60000000.0,failure,1,Electronics,1053.0,0.0,22,North America
67,level_1,level_2,level_0,level_1,AccelOne,225000.0,failure,1,Information Technology,483.0,0.0,8,North America
68,level_1,level_7,level_2,level_6,Accentia Biopharmaceuticals Inc,775000.0,success,2,Health Care & Biotechnology,3690.0,503.0,19,North America
69,level_2,level_7,level_2,level_7,Accenx Technologies,4500000.0,success,2,Information Technology,3907.0,533.0,24,North America
70,level_5,level_5,level_4,level_6,Accept Software,25305000.0,success,4,Services,1354.0,1915.0,19,North America
71,level_2,level_2,level_3,level_2,Accertify,7131124.0,success,3,Services,460.0,700.0,14,North America
72,level_5,level_7,level_4,level_6,Access Closure,13793098.0,success,3,Health Care & Biotechnology,2983.0,943.0,19,North America
73,level_2,level_7,level_0,level_7,Access Northeast,1999998.0,success,1,Information Technology,3979.0,0.0,22,North America
74,level_5,level_7,level_4,level_6,Access Scientific,21376000.0,success,6,Health Care & Biotechnology,2105.0,989.0,17,North America
75,level_1,level_1,level_3,level_2,Inherited Health,1155000.0,success,2,Health Care & Biotechnology,61.0,578.0,14,North America
76,level_6,level_7,level_0,level_7,Acclaim Games,38730470.0,success,1,Game & Applications,3585.0,0.0,24,North America
77,level_5,level_5,level_0,level_6,Acclarent,35000000.0,success,1,Health Care & Biotechnology,1056.0,0.0,17,North America
78,level_2,level_0,level_0,level_1,Acclaris Holdings,5000000.0,success,1,Design & Platforms,0.0,0.0,11,North America
79,level_6,level_2,level_0,level_1,Accord,38730470.0,failure,1,Real Estate,496.0,0.0,8,North America
80,level_1,level_1,level_0,level_1,Accordion Health,150000.0,failure,1,Data Science,49.0,0.0,7,North America
81,level_8,level_7,level_5,level_7,Accumetrics,110640460.0,success,9,Health Care & Biotechnology,2692.0,3759.0,25,North America
82,level_2,level_7,level_5,level_6,Accuvant,8198838.0,success,4,Privacy and Security,2373.0,2299.0,19,North America
83,level_2,level_7,level_0,level_7,Aceva Technologies,5280000.0,success,1,Information Technology,2393.0,0.0,22,North America
84,level_8,level_2,level_5,level_6,Achaogen,116605704.0,success,4,Health Care & Biotechnology,213.0,3155.0,17,North America
85,level_7,level_8,level_4,level_7,Achievers,52422330.0,success,5,Services,4715.0,1399.0,26,North America
86,level_7,level_5,level_5,level_7,Achillion Pharmaceuticals,91100000.0,success,2,Health Care & Biotechnology,1488.0,3124.0,23,North America
87,level_5,level_2,level_4,level_3,Blackwave,28000000.0,success,3,Community and Lifestyle,334.0,1034.0,15,North America
88,level_2,level_1,level_0,level_1,Acompli,7300000.0,success,1,Information Technology,3.0,0.0,8,North America
89,level_7,level_2,level_4,level_6,Acopia Networks,75000000.0,success,3,Information Technology,505.0,1125.0,19,North America
90,level_2,level_8,level_0,level_7,Acoustic Technologies,7974296.0,success,1,Information Technology,5580.0,0.0,23,North America
91,level_1,level_2,level_0,level_1,Acquaintable,40000.0,success,1,Information Technology,372.0,0.0,9,North America
92,level_2,level_8,level_3,level_7,Actinium Pharmaceuticals,7000720.0,success,2,Health Care & Biotechnology,4324.0,810.0,21,North America
93,level_7,level_1,level_5,level_7,Action Engine,58200000.0,success,5,Electronics,90.0,2617.0,21,North America
94,level_1,level_6,level_0,level_1,Active Junky,1300000.0,success,1,Commerce & Marketing,1771.0,0.0,11,North America
95,level_5,level_2,level_4,level_2,Active Storage,16400000.0,failure,4,Information Technology,398.0,1029.0,13,North America
96,level_6,level_7,level_0,level_8,Active Voice Corporation,38730470.0,success,1,Community and Lifestyle,2860.0,0.0,38,North America
97,level_8,level_1,level_5,level_7,ACTIVE Network,214208700.0,success,10,Information Technology,31.0,3754.0,22,North America
98,level_2,level_8,level_0,level_8,ActivIdentity,5422959.0,success,1,Information Technology,9128.0,0.0,36,North America
99,level_5,level_5,level_3,level_7,Actona Technologies,28000000.0,success,3,Services,958.0,570.0,21,North America
100,level_3,level_8,level_2,level_7,Acusphere,10000000.0,success,2,Health Care & Biotechnology,6761.0,231.0,28,North America
101,level_5,level_0,level_4,level_5,Ad Infuse,17600000.0,success,3,Media & Publishing,0.0,1117.0,16,North America
102,level_1,level_0,level_0,level_1,Ad Knights,50000.0,failure,1,Media & Publishing,0.0,0.0,11,North America
103,level_2,level_1,level_2,level_1,Ad Summos,4549999.0,failure,2,Media & Publishing,83.0,433.0,11,North America
104,level_7,level_2,level_4,level_1,Adallom,49500000.0,success,3,Information Technology,335.0,864.0,9,North America
105,level_8,level_7,level_0,level_7,Adam Aircraft,105000000.0,failure,1,Services,3458.0,0.0,23,North America
106,level_7,level_7,level_4,level_7,Adamas Pharmaceuticals,82000000.0,success,4,Health Care & Biotechnology,1947.0,1614.0,21,North America
107,level_5,level_7,level_4,level_3,Adamis Pharmaceuticals,16377078.0,success,5,Health Care & Biotechnology,2287.0,866.0,15,North America
108,level_7,level_1,level_4,level_3,"Adap.tv, now a part of ONE by AOL",48500000.0,success,5,Media & Publishing,92.0,1516.0,15,North America
109,level_3,level_6,level_0,level_6,Adapt Technologies,10000000.0,success,1,Media & Publishing,1623.0,0.0,20,North America
110,level_5,level_5,level_2,level_1,"Adaptive Medias, Inc.",12400000.0,success,3,Media & Publishing,985.0,235.0,9,North America
111,level_4,level_2,level_2,level_2,Adaptive TCR,10350000.0,failure,2,Health Care & Biotechnology,449.0,441.0,12,North America
112,level_5,level_1,level_4,level_2,AdaptiveBlue,24020000.0,success,4,Media & Publishing,50.0,1786.0,14,North America
113,level_3,level_7,level_0,level_2,Adaptiv.io,10000000.0,success,1,Information Technology,2109.0,0.0,14,North America
114,level_5,level_5,level_4,level_2,Adaptivity,24845956.0,success,6,Information Technology,1038.0,1157.0,14,North America
115,level_1,level_0,level_0,level_1,adBidtise,150000.0,failure,1,Media & Publishing,0.0,0.0,7,North America
116,level_7,level_3,level_5,level_6,adBrite,40400000.0,success,4,Media & Publishing,609.0,2799.0,18,North America
117,level_1,level_1,level_0,level_1,AdBuddy Inc,100000.0,failure,1,Media & Publishing,80.0,0.0,9,North America
118,level_5,level_8,level_4,level_7,AdCare Health Systems,36043700.0,success,7,Health Care & Biotechnology,8018.0,1946.0,33,North America
119,level_1,level_0,level_0,level_2,Adcast,3500.0,failure,1,Media & Publishing,0.0,0.0,12,North America
120,level_8,level_2,level_5,level_6,Adchemy,119191000.0,success,7,Media & Publishing,405.0,2415.0,17,North America
121,level_8,level_5,level_4,level_5,Adconion Media Group,114000000.0,success,3,Media & Publishing,760.0,1559.0,16,North America
122,level_1,level_8,level_0,level_8,Addus HealthCare,1240000.0,success,1,Health Care & Biotechnology,11544.0,0.0,42,North America
123,level_2,level_7,level_0,level_7,Adea,5000000.0,success,1,Services,4018.0,0.0,25,North America
124,level_2,level_5,level_0,level_6,AdECN,3100000.0,success,1,Media & Publishing,1127.0,0.0,18,North America
125,level_1,level_2,level_2,level_1,Adept Cloud,1015000.0,success,2,Information Technology,488.0,31.0,10,North America
126,level_7,level_5,level_5,level_3,Adesto Technologies,56381908.0,success,7,Media & Publishing,1209.0,2331.0,15,North America
127,level_2,level_2,level_0,level_1,AdexLink,2000000.0,failure,1,Media & Publishing,298.0,0.0,11,North America
128,level_1,level_1,level_0,level_2,Adeyoh,12000.0,failure,1,Information Technology,92.0,0.0,12,North America
129,level_1,level_0,level_2,level_1,AdGrok,470000.0,success,2,Media & Publishing,0.0,310.0,11,North America
130,level_1,level_2,level_0,level_1,Adhere2Care,300000.0,failure,1,Health Care & Biotechnology,453.0,0.0,10,North America
131,level_1,level_2,level_0,level_1,Adherence Compliance,60000.0,failure,1,Services,215.0,0.0,7,North America
132,level_6,level_8,level_0,level_7,ADI Engineering,38730470.0,success,1,Community and Lifestyle,7983.0,0.0,31,North America
133,level_5,level_7,level_0,level_7,Adiana,23000000.0,success,1,Health Care & Biotechnology,3158.0,0.0,24,North America
134,level_5,level_0,level_2,level_3,Adify,27000000.0,success,2,Media & Publishing,0.0,260.0,15,North America
135,level_1,level_5,level_2,level_2,Adility,100000.0,success,2,Media & Publishing,880.0,67.0,12,North America
136,level_1,level_2,level_2,level_1,Adjacent Applications,256000.0,failure,2,Government and Military,168.0,382.0,10,North America
137,level_2,level_1,level_2,level_1,Adku,1540000.0,success,3,Information Technology,92.0,403.0,11,North America
138,level_5,level_2,level_3,level_2,Admeld,30000000.0,success,3,Media & Publishing,406.0,629.0,14,North America
139,level_7,level_0,level_4,level_3,AdMob,46800000.0,success,4,Media & Publishing,0.0,881.0,15,North America
140,level_2,level_2,level_0,level_1,AdMobius,5000000.0,success,1,Media & Publishing,457.0,0.0,10,North America
141,level_6,level_2,level_0,level_2,AdNectar,38730470.0,failure,1,Media & Publishing,195.0,0.0,13,North America
142,level_7,level_2,level_4,level_6,Adnexus,55500000.0,success,3,Health Care & Biotechnology,365.0,1679.0,19,North America
143,level_5,level_5,level_5,level_5,Adometry By Google,29575000.0,success,5,Media & Publishing,767.0,2151.0,16,North America
144,level_5,level_1,level_5,level_7,Adomo,18500000.0,success,2,Information Technology,92.0,2796.0,22,North America
145,level_7,level_2,level_4,level_2,ADOR,56464868.0,success,5,Media & Publishing,520.0,1213.0,12,North America
146,level_1,level_2,level_2,level_2,AdoTube,1230000.0,success,2,Media & Publishing,155.0,245.0,14,North America
147,level_5,level_2,level_4,level_3,AdReady,17807000.0,success,4,Media & Publishing,546.0,1815.0,15,North America
148,level_1,level_2,level_0,level_2,AdRocket,1000000.0,failure,1,Media & Publishing,469.0,0.0,13,North America
149,level_5,level_6,level_0,level_2,adSage,20000000.0,success,1,Media & Publishing,1704.0,0.0,14,North America
150,level_6,level_1,level_2,level_1,AdStack,38730470.0,success,2,Media & Publishing,90.0,396.0,10,North America
151,level_1,level_2,level_0,level_2,Adtuitive,1300000.0,success,1,Media & Publishing,215.0,0.0,13,North America
152,level_1,level_1,level_0,level_2,Aductions,100000.0,success,1,Media & Publishing,111.0,0.0,14,North America
153,level_5,level_2,level_4,level_2,Adura Technologies,25500000.0,success,3,Science & Engineering,289.0,1288.0,13,North America
154,level_8,level_7,level_4,level_7,Aduro BioTech,143380940.0,success,8,Health Care & Biotechnology,3608.0,1875.0,21,North America
155,level_1,level_0,level_0,level_1,Advaliant,100000.0,failure,1,Media & Publishing,0.0,0.0,8,North America
156,level_5,level_5,level_2,level_6,Advanced BioHealing,33500000.0,success,2,Health Care & Biotechnology,1055.0,463.0,18,North America
157,level_5,level_5,level_4,level_2,Advanced Cardiac Therapeutics,12300000.0,failure,2,Health Care & Biotechnology,1106.0,1561.0,14,North America
158,level_7,level_5,level_4,level_2,Advanced Cell Technology,57777000.0,success,3,Health Care & Biotechnology,1046.0,1694.0,14,North America
159,level_3,level_7,level_0,level_7,Advanced Data Exchange,10000000.0,success,1,Information Technology,4226.0,0.0,29,North America
160,level_5,level_5,level_4,level_5,Advanced Electron Beams,31670000.0,failure,2,Information Technology,814.0,862.0,16,North America
161,level_1,level_1,level_0,level_2,Advanced Marketing & Media Group,500000.0,failure,1,Media & Publishing,14.0,0.0,14,North America
162,level_6,level_8,level_0,level_7,Advanced Medical Innovations,38730470.0,failure,1,Services,6209.0,0.0,26,North America
163,level_6,level_7,level_0,level_7,Advanced Mobile Solutions,38730470.0,success,1,Media & Publishing,3650.0,0.0,23,North America
164,level_5,level_0,level_0,level_2,Advanced Power Projects,13000000.0,failure,1,Information Technology,0.0,0.0,12,North America
165,level_2,level_8,level_0,level_7,ART Advanced Recognition Technologies,6000000.0,success,1,Electronics,5126.0,0.0,31,North America
166,level_6,level_7,level_5,level_6,AdvanDx,39700000.0,success,5,Health Care & Biotechnology,2086.0,2737.0,19,North America
167,level_8,level_7,level_5,level_6,Advaxis,98537420.0,success,8,Health Care & Biotechnology,2830.0,2155.0,19,North America
168,level_2,level_5,level_0,level_6,Adventure Central,3500000.0,success,1,Commerce & Marketing,1470.0,0.0,18,North America
169,level_6,level_7,level_0,level_7,Advertising Concepts,38730470.0,failure,1,Services,2153.0,0.0,27,North America
170,level_5,level_5,level_4,level_5,AdXpose,22800000.0,success,3,Media & Publishing,761.0,1523.0,16,North America
171,level_1,level_2,level_2,level_3,AdYouNet,1400000.0,failure,2,Media & Publishing,365.0,485.0,15,North America
172,level_5,level_7,level_2,level_5,Aegerion Pharmaceuticals,19814760.0,success,2,Health Care & Biotechnology,2004.0,105.0,16,North America
173,level_2,level_7,level_0,level_7,Aegis Lightwave,8000000.0,success,1,Information Technology,1977.0,0.0,21,North America
174,level_2,level_7,level_5,level_8,Aehr Test Systems,7857000.0,success,4,Information Technology,3183.0,10807.0,44,North America
175,level_2,level_7,level_0,level_7,AEP Networks,5000000.0,success,1,Information Technology,2548.0,0.0,23,North America
176,level_8,level_7,level_4,level_5,Aerie Pharmaceuticals,253614960.0,success,5,Health Care & Biotechnology,2069.0,1469.0,16,North America
177,level_8,level_2,level_5,level_3,Aerohive Networks,104952380.0,success,6,Electronics,181.0,2565.0,15,North America
178,level_8,level_8,level_0,level_8,Aeropostale,150000000.0,success,1,Other,10009.0,0.0,34,North America
179,level_7,level_7,level_4,level_7,AeroScout,49000000.0,success,4,Electronics,2982.0,1343.0,22,North America
180,level_8,level_5,level_4,level_6,Aerovance,120500000.0,failure,5,Health Care & Biotechnology,1182.0,1454.0,17,North America
181,level_2,level_2,level_0,level_6,Aesthera Corporation,6500000.0,success,1,Consumer Goods,411.0,0.0,17,North America
182,level_5,level_7,level_5,level_7,Aethlon Medical,17681234.0,success,12,Health Care & Biotechnology,3843.0,2175.0,22,North America
183,level_7,level_0,level_3,level_3,Affinity,85000000.0,success,2,Media & Publishing,0.0,823.0,15,North America
184,level_7,level_7,level_5,level_7,Affinium Pharmaceuticals,81800000.0,success,5,Health Care & Biotechnology,2641.0,2361.0,21,North America
185,level_6,level_7,level_0,level_7,Affordable Interior Systems,38730470.0,success,1,Consumer Goods,3652.0,0.0,32,North America
186,level_5,level_5,level_2,level_6,AGEIA Technologies,27500000.0,success,2,Game & Applications,1007.0,364.0,19,North America
187,level_6,level_0,level_0,level_7,Agencourt Bioscience,38730470.0,success,1,Health Care & Biotechnology,0.0,0.0,21,North America
188,level_1,level_8,level_0,level_7,Agencyport Software,1171300.0,success,1,Information Technology,4353.0,0.0,21,North America
189,level_1,level_1,level_0,level_0,AgentRave,45000.0,failure,1,Commerce & Marketing,31.0,0.0,6,North America
190,level_8,level_8,level_5,level_7,Agenus,171140000.0,success,5,Health Care & Biotechnology,5694.0,2241.0,27,North America
191,level_7,level_0,level_5,level_3,Aggregate Knowledge,74311930.0,success,8,Media & Publishing,0.0,3012.0,15,North America
192,level_1,level_0,level_0,level_1,Agiftidea.com,50000.0,failure,1,Commerce & Marketing,0.0,0.0,9,North America
193,level_8,level_8,level_4,level_7,Agile Therapeutics,111005000.0,success,7,Health Care & Biotechnology,4683.0,1927.0,24,North America
194,level_1,level_2,level_0,level_2,AgileZen,25000.0,success,1,Information Technology,258.0,0.0,12,North America
195,level_8,level_5,level_4,level_7,Agility Communications,168000000.0,success,4,Information Technology,1014.0,1610.0,23,North America
196,level_6,level_5,level_0,level_7,"Agillion, Inc.",40000000.0,failure,1,Information Technology,676.0,0.0,23,North America
197,level_5,level_7,level_4,level_7,AgInfoLink,12265000.0,failure,3,Information Technology,3717.0,1476.0,24,North America
198,level_8,level_2,level_4,level_2,Agios Pharmaceuticals,119823940.0,success,4,Health Care & Biotechnology,188.0,1228.0,13,North America
199,level_2,level_2,level_0,level_5,Agistics,2000000.0,success,1,Information Technology,313.0,0.0,16,North America
200,level_6,level_6,level_0,level_2,agnion Energy,38730470.0,success,1,Information Technology,1592.0,0.0,14,North America
201,level_7,level_7,level_5,level_7,AgraQuest,57100000.0,success,4,Health Care & Biotechnology,2959.0,2964.0,26,North America
202,level_5,level_2,level_4,level_6,Ahura Scientific,29500000.0,success,3,Health Care & Biotechnology,230.0,1663.0,19,North America
203,level_5,level_7,level_2,level_7,Aicent,17300000.0,success,2,Electronics,2629.0,539.0,21,North America
204,level_5,level_7,level_0,level_7,Air2Web,25000000.0,success,1,Electronics,2825.0,0.0,22,North America
205,level_5,level_2,level_5,level_7,AirClic,27500000.0,success,2,Information Technology,452.0,2520.0,22,North America
206,level_5,level_7,level_0,level_6,AirDefense,14000000.0,success,1,Electronics,2145.0,0.0,20,North America
207,level_1,level_1,level_0,level_1,AirDroids,929212.0,failure,1,Information Technology,136.0,0.0,8,North America
208,level_5,level_5,level_0,level_3,Aires Pharmaceuticals,20000000.0,success,1,Health Care & Biotechnology,1441.0,0.0,15,North America
209,level_5,level_2,level_0,level_6,Airespace,20000000.0,success,1,Information Technology,513.0,0.0,20,North America
210,level_5,level_8,level_4,level_8,AirNet Communications,12000000.0,success,2,Information Technology,10618.0,1016.0,47,North America
211,level_2,level_7,level_0,level_3,AirPatrol Corporation,3675000.0,success,1,Data Science,1935.0,0.0,15,North America
212,level_4,level_2,level_2,level_2,Airship Ventures,10500000.0,failure,2,Transportation,494.0,296.0,14,North America
213,level_8,level_8,level_5,level_7,Airspan Networks,141636020.0,success,11,Electronics,6454.0,2227.0,29,North America
214,level_5,level_7,level_2,level_6,AirTouch Communications,17506428.0,success,2,Electronics,2674.0,124.0,17,North America
215,level_8,level_7,level_2,level_6,AirWatch,225000000.0,success,2,Electronics,3707.0,81.0,18,North America
216,level_6,level_2,level_4,level_6,Airwide Solutions,38809920.0,success,3,Information Technology,322.0,1617.0,17,North America
217,level_5,level_5,level_2,level_2,AisleBuyer,11500000.0,success,2,Information Technology,691.0,202.0,12,North America
218,level_6,level_5,level_0,level_1,Ajubeo,38730470.0,success,1,Information Technology,963.0,0.0,10,North America
219,level_7,level_2,level_2,level_1,AdKeeper,43000000.0,failure,2,Media & Publishing,257.0,110.0,11,North America
220,level_5,level_2,level_3,level_5,AkaRx,26100000.0,success,5,Health Care & Biotechnology,233.0,690.0,16,North America
221,level_7,level_5,level_4,level_2,Akebia Therapeutics,83100000.0,success,4,Health Care & Biotechnology,988.0,1358.0,14,North America
222,level_5,level_2,level_2,level_6,Akimbi Systems,11300000.0,success,2,Information Technology,385.0,285.0,17,North America
223,level_1,level_5,level_2,level_1,Akimbo Financial,850000.0,success,2,Services,853.0,354.0,11,North America
224,level_7,level_1,level_4,level_5,Akorri Networks,53730000.0,success,5,Information Technology,124.0,1783.0,16,North America
225,level_3,level_7,level_0,level_7,Akrion,10000000.0,success,1,Media & Publishing,2744.0,0.0,22,North America
226,level_7,level_2,level_5,level_5,Akros Silicon,46953360.0,success,6,Media & Publishing,181.0,3510.0,16,North America
227,level_5,level_5,level_4,level_6,Aktino,30200000.0,success,2,Information Technology,862.0,1193.0,18,North America
228,level_8,level_7,level_4,level_7,Alarm.com,163000000.0,success,2,Information Technology,3335.0,1253.0,21,North America
229,level_2,level_7,level_0,level_5,AlchemyAPI,2000000.0,success,1,Information Technology,2967.0,0.0,16,North America
230,level_8,level_2,level_5,level_6,Alder Biopharmaceuticals,105000000.0,success,4,Health Care & Biotechnology,547.0,2484.0,17,North America
231,level_2,level_7,level_0,level_6,Aldexa Therapeutics,4793666.0,failure,1,Health Care & Biotechnology,3290.0,0.0,17,North America
232,level_2,level_7,level_0,level_6,Aldeyra Therapeutics,7791560.0,success,1,Health Care & Biotechnology,4046.0,0.0,17,North America
233,level_1,level_1,level_0,level_1,Alekto,50000.0,failure,1,Services,57.0,0.0,9,North America
234,level_3,level_2,level_2,level_1,AlephCloud Systems,9500000.0,failure,2,Information Technology,489.0,383.0,10,North America
235,level_8,level_8,level_0,level_8,Alere,400000000.0,success,1,Information Technology,10855.0,0.0,40,North America
236,level_1,level_8,level_0,level_7,Alexion Pharmaceuticals,31322.814,success,1,Health Care & Biotechnology,8492.0,0.0,29,North America
237,level_5,level_8,level_0,level_8,Alfa Leisure,10900000.0,failure,1,Manufacturing,13188.0,0.0,52,North America
238,level_2,level_5,level_0,level_7,alfabet,5200000.0,success,1,Real Estate,1362.0,0.0,23,North America
239,level_2,level_6,level_0,level_6,Alignent Software,6000000.0,success,1,Information Technology,1537.0,0.0,20,North America
